"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"123829","1093.736142","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7109 Win=251 Len=0","0.047470000"
"123876","1098.832458","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.096316000"
"123877","1098.886481","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7143 Win=251 Len=0","0.054023000"
"123930","1104.663405","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.776924000"
"123931","1104.706287","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7177 Win=251 Len=0","0.042882000"
"123970","1109.127449","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.421162000"
"123971","1109.175978","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7211 Win=251 Len=0","0.048529000"
"124001","1114.548213","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.372235000"
"124002","1114.602653","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7245 Win=251 Len=0","0.054440000"
"124047","1120.387498","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.784845000"
"124050","1120.436970","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7279 Win=250 Len=0","0.049472000"
"124083","1124.850484","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.413514000"
"124084","1124.898353","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7313 Win=250 Len=0","0.047869000"
"124130","1130.551689","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.653336000"
"124131","1130.599772","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7347 Win=250 Len=0","0.048083000"
"124160","1135.513756","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.913984000"
"124161","1135.567844","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=37 Ack=7381 Win=250 Len=0","0.054088000"
"124186","1139.545503","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","3.977659000"
"124191","1139.762986","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=7381 Ack=39 Win=502 Len=0","0.217483000"
"124196","1140.796243","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","1.033257000"
"124200","1140.850803","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7415 Win=255 Len=0","0.054560000"
"124205","1141.497979","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","0.647176000"
"124206","1141.547945","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7417 Win=255 Len=0","0.049966000"
"124244","1146.496745","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.948800000"
"124245","1146.541845","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7451 Win=255 Len=0","0.045100000"
"124273","1151.221160","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.679315000"
"124274","1151.275313","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7485 Win=255 Len=0","0.054153000"
"124311","1157.026155","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.750842000"
