No.,Time,Source,Destination,Protocol,Length,Info,Intervalo,Delta_t
106007,961.403342,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],1.939973,5.430959999999914
106080,966.8459,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.390593,5.442558000000076
106244,972.307543,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.419503,5.461642999999981
106291,977.236069,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.887832,4.9285260000000335
106700,982.681506,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.399259,5.44543699999997
111837,987.759717,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.026867,5.07821100000001
113609,993.210865,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.403085,5.451147999999989
114823,998.22266,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.961523,5.011795000000006
115518,1003.483956,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.206201,5.261296000000016
115769,1008.680825,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.157035,5.196868999999992
116768,1014.496386,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.768958,5.815561000000002
117616,1019.648666,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.89215,5.152280000000019
119702,1025.018011,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.128662,5.369344999999839
120310,1030.301594,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.238798,5.283583000000135
121628,1035.198353,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.850151,4.8967589999999745
122245,1040.527598,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.28486,5.329244999999901
122935,1046.032481,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.452903,5.5048830000000635
123249,1051.312874,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.226669,5.280393000000004
123513,1056.621024,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.267057,5.308150000000069
123552,1062.011859,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.345316,5.3908349999999245
123594,1067.598151,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.536365,5.586291999999958
123630,1072.67806,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.029101,5.079909000000043
123706,1077.902815,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.182521,5.224754999999959
123746,1082.770758,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],2.123984,4.867942999999968
123781,1088.00536,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.186354,5.234602000000223
123828,1093.688672,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.633126,5.683311999999887
123876,1098.832458,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.096316,5.143786000000091
123930,1104.663405,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.776924,5.830946999999924
123970,1109.127449,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.421162,4.464044000000058
124001,1114.548213,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.372235,5.420763999999963
124047,1120.387498,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.784845,5.839285000000018
124083,1124.850484,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.413514,4.462986000000001
124130,1130.551689,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.653336,5.701204999999845
124160,1135.513756,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.913984,4.962067000000161
124196,1140.796243,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],1.033257,5.282486999999946
124244,1146.496745,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.9488,5.700501999999915
124273,1151.22116,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.679315,4.7244150000001355
124311,1157.026155,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.750842,5.804994999999963
124351,1162.284798,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.213236,5.258642999999893
124403,1167.85426,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.5152,5.569462000000158
124450,1173.449001,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.553277,5.594740999999885
124486,1178.076467,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.587553,4.62746600000014
124526,1183.315841,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.184855,5.239373999999998
124593,1188.513204,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.155985,5.197362999999996
