"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"15970","1165.069492","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:17569, POST, coap://192.168.3.103/sensor","5.276710000"
"15971","1165.070270","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49221, 2.03 Valid","0.000778000"
"16068","1170.350759","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:57164, POST, coap://192.168.3.103/sensor","5.280489000"
"16069","1170.351670","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49222, 2.03 Valid","0.000911000"
"16156","1175.631213","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:61450, POST, coap://192.168.3.103/sensor","5.279543000"
"16157","1175.632031","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49223, 2.03 Valid","0.000818000"
"16187","1180.909299","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24887, POST, coap://192.168.3.103/sensor","5.277268000"
"16188","1180.910101","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49224, 2.03 Valid","0.000802000"
"16221","1186.189102","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:46202, POST, coap://192.168.3.103/sensor","5.279001000"
"16222","1186.189902","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49225, 2.03 Valid","0.000800000"
"16249","1191.469051","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:14584, POST, coap://192.168.3.103/sensor","5.279149000"
"16250","1191.469847","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49226, 2.03 Valid","0.000796000"
"16282","1196.752045","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:2516, POST, coap://192.168.3.103/sensor","5.282198000"
"16283","1196.752789","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49227, 2.03 Valid","0.000744000"
